Manufacturer,Model,price,Wheelbase,Width,Length,Height,body
Audi         ,A6,3400,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,3400,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,3300,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,3150,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,3150,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,3100,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,3050,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2999,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2850,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2799,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2650,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2650,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2650,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2600,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2600,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2550,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2500,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2500,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2450,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2350,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2300,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2300,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,2000,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,0,"108,7","76,1",192,"57,2",vagon
Audi         ,A6,3000,"108,7","76,1",192,"57,2",van
Buick        ,Century,3500,109,"72,7","194,6","56,6",sedan
Cadillac     ,Escalade,145000,"117,5",77,"201,2","74,3",crossover
Cadillac     ,Escalade,47000,"117,5",77,"201,2","74,3",crossover
Chevrolet    ,Corvette,75000,"104,5","73,6","179,7",48,other
Chevrolet    ,Camaro,65000,"101,1","74,1","193,2","51,3",other
Chevrolet    ,Camaro,59999,"101,1","74,1","193,2","51,3",other
Chevrolet    ,Camaro,58500,"101,1","74,1","193,2","51,3",other
Chevrolet    ,Camaro,56800,"101,1","74,1","193,2","51,3",other
Chevrolet    ,Camaro,56000,"101,1","74,1","193,2","51,3",other
Chevrolet    ,Camaro,54000,"101,1","74,1","193,2","51,3",other
Chevrolet    ,Camaro,44000,"101,1","74,1","193,2","51,3",other
Chevrolet    ,Camaro,35000,"101,1","74,1","193,2","51,3",other
Chevrolet    ,Camaro,34000,"101,1","74,1","193,2","51,3",other
Chevrolet    ,Corvette,34000,"104,5","73,6","179,7",48,other
Chevrolet    ,Lumina,3500,"107,5","72,5","200,9","54,8",other
Chevrolet    ,Malibu,24000,107,"69,4","190,4","56,4",sedan
Chevrolet    ,Malibu,18500,107,"69,4","190,4","56,4",sedan
Chevrolet    ,Lumina,3500,"107,5","72,5","200,9","54,8",van
Chrysler     ,LHS,3800,113,"74,4","207,7",56,sedan
Dodge        ,Durango,9500,"115,7","71,7","193,5","72,9",crossover
Dodge        ,Avenger,8350,"103,7","69,1","190,2",53,sedan
Dodge        ,Avenger,7300,"103,7","69,1","190,2",53,sedan
